date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:40	41657/41657	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:29:11%20GMT	http://www.w3schools.com/sql/sql_select_into.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_select_into.html	(from http://www.w3schools.com/sql/)
10:04:41	43123/43123	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2008:33:00%20GMT	http://www.w3schools.com/sql/sql_insert_into_select.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_insert_into_select.html	(from http://www.w3schools.com/sql/)
10:04:41	39692/39692	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2008:29:41%20GMT	http://www.w3schools.com/sql/sql_create_db.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_create_db.html	(from http://www.w3schools.com/sql/)
10:04:42	41521/41521	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:55:13%20GMT	http://www.w3schools.com/sql/sql_create_table.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_create_table.html	(from http://www.w3schools.com/sql/)
10:04:42	40779/40779	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:29:16%20GMT	http://www.w3schools.com/sql/sql_constraints.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_constraints.html	(from http://www.w3schools.com/sql/)
10:04:43	40040/40040	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:37:44%20GMT	http://www.w3schools.com/sql/sql_notnull.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_notnull.html	(from http://www.w3schools.com/sql/)
10:04:43	41927/41927	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2003:36:11%20GMT	http://www.w3schools.com/sql/sql_unique.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_unique.html	(from http://www.w3schools.com/sql/)
10:04:44	42272/42272	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:22:38%20GMT	http://www.w3schools.com/sql/sql_primarykey.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_primarykey.html	(from http://www.w3schools.com/sql/)
10:04:44	43547/43547	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:08:45%20GMT	http://www.w3schools.com/sql/sql_foreignkey.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_foreignkey.html	(from http://www.w3schools.com/sql/)
10:04:45	42003/42003	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:44:46%20GMT	http://www.w3schools.com/sql/sql_check.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_check.html	(from http://www.w3schools.com/sql/)
